name,name_mn,calories,carbohydrate,sugars,fiber,protein,fat
"Cookies, reduced fat, oatmeal",,365.0,64.62,32.14,16.1,4.02,10.04
"Cheese, queso cotija, mexican",,366.0,3.97,0.0,0.0,20.0,30.0
"SILK Light Chocolate, soymilk",,49.0,9.05,7.82,0.8,2.06,0.62
"Candies, sugar-coated almonds",,474.0,68.26,62.5,2.5,10.0,17.93
"Cheese, queso seco, dry white",,325.0,2.04,0.55,0.0,24.51,24.35
"Beef, reduced sodium, bologna",,310.0,2.0,0.0,0.0,11.7,28.4
"KEEBLER, Iced Oatmeal Cookies",,467.0,69.5,35.6,4.1,6.5,18.3
"Ice creams, fat free, vanilla",,138.0,30.06,6.3,1.0,4.48,0.0
"Peanut butter, reduced sodium",,590.0,21.83,9.29,6.6,24.0,49.9
"Oil, salad or cooking, peanut",,884.0,0.0,0.0,0.0,0.0,100.0
"Corn, steamed (Navajo), white",,386.0,75.2,6.47,16.6,9.72,5.18
"Sauce, ready-to-serve, cheese",,174.0,6.83,0.42,0.5,6.71,13.29
"Noodles, unenriched, dry, egg",,384.0,71.27,1.88,3.3,14.16,4.44
"Egg, scrambled, cooked, whole",,149.0,1.61,1.39,0.0,9.99,10.98
"Egg, raw, fresh, whole, goose",,185.0,1.35,0.94,0.0,13.87,13.27
"GIRL SCOUTS, Trefoils Cookies",,498.0,68.0,20.7,1.6,5.7,22.9
Pulled pork in barbecue sauce,,168.0,18.74,15.2,1.2,13.19,4.42
"Veal, broiled, cooked, ground",,172.0,0.0,0.0,0.0,24.38,7.56
"Bread, bollilo, Mexican, roll",,318.0,55.77,3.55,2.2,10.65,5.8
"McDONALD'S, Chicken McNUGGETS",,302.0,15.09,0.08,0.0,15.79,19.81
"English muffins, whole-wheat",,203.0,40.4,8.09,6.7,8.8,2.1
"Ice creams, light, chocolate",,187.0,25.7,24.71,0.8,5.0,7.19
"Crackers, wheat, melba toast",,374.0,76.4,0.0,7.4,12.9,2.3
"Peanut spread, reduced sugar",,650.0,14.23,6.35,7.8,24.8,54.89
"Beerwurst, pork, beer salami",,238.0,2.06,0.0,0.0,14.24,18.8
"Babyfood, junior, beef, meat",,81.0,2.43,0.0,0.0,12.03,2.52
"Oil, salad or cooking, olive",,884.0,0.0,0.0,0.0,0.0,100.0
"Bologna, beef, pork, chicken",,272.0,5.61,0.0,0.0,11.33,22.73
"PEPPERIDGE FARM, White Bread",,280.0,50.2,5.1,1.6,0.01,5.1
"Crackers, low sodium, cheese",,503.0,58.2,0.28,2.4,10.1,25.3
"USDA Commodity, canned, pork",,196.0,0.59,0.0,0.0,19.4,12.95
"Pancakes, reduced fat, plain",,269.0,57.32,8.57,1.0,5.71,1.9
"Tennis Bread, plain (Apache)",,258.0,53.26,3.01,2.6,9.0,1.05
"USDA Commodity, canned, beef",,246.0,0.0,0.0,0.0,20.52,17.57
"Yogurt, lowfat, plain, Greek",,73.0,3.94,3.56,0.0,9.95,1.92
"Cheese, low sodium, parmesan",,451.0,3.7,0.85,0.0,41.6,29.99
"McDONALD'S, Hotcakes (plain)",,228.0,38.27,8.84,1.4,6.0,5.84
"Noodles, dry, soba, japanese",,336.0,74.62,0.0,0.0,14.38,0.71
"Cheese, reduced fat, cheddar",,309.0,4.06,0.26,0.0,27.35,20.41
"Cream, light whipping, fluid",,292.0,2.96,2.96,0.0,2.17,30.91
"Cream, heavy whipping, fluid",,340.0,2.74,2.92,0.0,2.84,36.08
"Bread, toasted, pumpernickel",,275.0,52.2,0.58,7.1,9.5,3.4
"Bread, enriched, white, pita",,275.0,55.7,1.3,2.2,9.1,1.2
"Beef, raw, ground, grass-fed",,198.0,0.0,0.0,0.0,19.42,12.73
"Muffins, dry mix, wheat bran",,396.0,73.0,0.0,0.0,7.1,12.0
"Sauce, dry, cheese sauce mix",,438.0,60.52,10.26,1.0,7.68,18.33
"Cake, dry mix, light, yellow",,404.0,84.1,0.0,1.3,4.7,5.5
"Buckwheat flour, whole-groat",,335.0,70.59,2.6,10.0,12.62,3.1
"Sweet potato, mashed, canned",,101.0,23.19,5.45,1.7,1.98,0.2
"Pastrami, 98% fat-free, beef",,95.0,1.54,0.0,0.0,19.6,1.16
"Rice, raw, long-grain, brown",,367.0,76.25,0.66,3.6,7.54,3.2
